Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-3
Year//Month,2005//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2005//1//1,1,07::40:27,16::49:05,12::14:36,3.5,12.9,0.97,3.1390000000000002,1.171,9.33,0.20800000000000002,3.137,0.918,3.138,0.762,3.1390000000000002,-0.93,-45.663000000000004,12.729000000000001,5.79,0.7155208333333333,3.7800000000000002,-0.34,4.72,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//2,2,07::40:29,16::49:45,12::15:04,3.517,12.9,0.903,3.136,0.731,9.332,0.002,3.9090000000000003,0.013000000000000001,3.237,0.9,3.138,-3.096,-11.870000000000001,8.732,6.885,0.051215277777777776,1.44,-1.11,2.2,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//3,3,07::40:30,16::50:32,12::15:32,3.536,12.899000000000001,2.0180000000000002,3.137,2.802,9.333,1.139,3.138,3.2960000000000003,3.137,0.879,3.136,7.662,7.8870000000000005,38.865,2.563,0.14267361111111113,1.26,-2.83,2.46,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//4,4,07::40:29,16::51:33,12::15:59,3.556,12.9,2.493,3.259,4.054,9.769,2.108,3.237,6.346,3.371,0.385,3.378,14.294,5.0280000000000005,53.405,2.363,2.0230208333333333,6.42,-4.68,5.59,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//5,5,07::40:26,16::52:52,12::16:26,3.577,12.901,2.162,3.137,3.366,9.331,1.655,3.137,4.856,3.137,0.507,3.137,11.688,6.009,44.365,2.685,0.2798263888888889,3.54,-4.29,4.64,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//6,6,07::40:21,16::53:53,12::16:52,3.6,13.02,1.665,3.137,2.048,9.331,0.331,3.138,0.895,3.136,1.334,3.137,4.3260000000000005,15.669,27.315,3.238,0.31836805555555553,4.53,-1.6300000000000001,6.0200000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//7,7,07::40:15,16::54:37,12::17:18,3.624,13.022,0.51,3.14,0.47400000000000003,9.332,0.,100,0.006,3.196,0.51,3.1390000000000002,-4.76,-5.49,3.823,16.021,1.7710416666666668,4.73,-0.56,5.22,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//8,8,07::40:06,16::55:30,12::17:43,3.65,13.025,0.451,3.137,0.39,9.328,0.,100,0.,100,0.451,3.137,-6.461,0.,0.,100,0.7855208333333334,3.66,-0.07,3.0300000000000002,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//9,9,07::39:54,16::56:39,12::18:08,3.677,13.029,1.21,3.136,1.097,9.33,0.018000000000000002,3.17,0.064,3.133,1.191,3.138,-2.537,-18.348,10.529,6.925,0.03118055555555556,0.84,-0.18,4.0600000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//10,10,07::39:41,16::58:06,12::18:32,3.705,13.033,1.742,3.46,2.245,10.127,0.482,3.6590000000000003,1.579,4.009,1.26,3.383,5.894,12.332,31.014,3.036,1.1436458333333333,5.12,-1.07,8.71,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//11,11,07::39:24,16::59:05,12::18:56,3.734,13.156,0.997,3.137,0.997,9.331,0.14,3.134,0.598,3.1390000000000002,0.857,3.137,-2.342,-23.712,10.971,6.138,0.12354166666666666,1.12,-1.87,4.3,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//12,12,07::39:03,16::59:56,12::19:18,3.765,13.163,2.726,3.5460000000000003,4.242,10.475,2.334,3.5180000000000002,6.957,3.8040000000000003,0.392,3.712,14.776,4.867,55.319,2.543,0.16673611111111108,1.,-5.5200000000000005,4.3100000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//13,13,07::38:38,17::00:59,12::19:41,3.798,13.172,1.717,3.137,2.055,9.332,0.224,3.138,0.611,3.1390000000000002,1.493,3.137,4.495,16.352,28.399,3.192,0.021493055555555557,0.72,-5.98,1.51,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//14,14,07::38:07,17::02:29,12::20:03,3.831,13.183,1.292,3.136,1.346,9.329,0.093,3.1390000000000002,0.249,3.134,1.198,3.138,0.252,265.741,16.762,4.931,0.05732638888888889,0.47000000000000003,-2.16,4.2,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//15,15,07::37:27,17::03:47,12::20:24,3.866,13.314,0.742,3.138,0.865,9.332,0.,100,0.005,3.096,0.742,3.137,-2.19,-26.849,10.741,6.767,0.12697916666666667,2.46,0.67,6.69,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//16,16,07::36:50,17::04:38,12::20:44,3.902,13.312000000000001,2.445,3.137,3.524,9.333,1.55,3.137,4.0200000000000005,3.137,0.895,3.138,10.989,6.243,47.068,2.532,0.10239583333333334,1.22,2.39,9.57,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//17,17,07::36:16,17::05:41,12::21:04,3.939,13.339,1.18,3.138,1.246,9.332,0.052000000000000005,3.11,0.203,3.133,1.129,3.136,-0.28600000000000003,-197.028,15.543000000000001,4.931,0.13381944444444446,1.53,3.66,9.39,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//18,18,07::35:53,17::07:06,12::21:23,3.978,13.346,2.0340000000000003,3.138,2.778,9.333,0.923,3.138,2.519,3.136,1.111,3.137,6.776,10.486,35.216,2.863,0.08520833333333333,1.25,2.33,12.59,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//19,19,07::35:26,17::08:40,12::21:41,4.018,13.472,1.297,3.136,1.428,9.333,0.15,3.1310000000000002,0.425,3.141,1.147,3.137,-0.08600000000000001,-750.194,16.841,4.993,0.050347222222222224,0.67,1.6,8.74,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//20,20,07::34:55,17::09:31,12::21:58,4.059,13.481,1.809,3.136,2.31,9.333,0.619,3.1350000000000002,1.678,3.137,1.19,3.137,4.368,15.892,29.706,3.149,0.14069444444444446,1.6600000000000001,-0.66,10.290000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//21,21,07::34:18,17::10:35,12::22:15,4.101,13.493,2.238,3.136,3.0180000000000002,9.332,1.032,3.138,2.5140000000000002,3.137,1.205,3.138,8.593,8.839,40.632,2.843,0.08659722222222223,0.99,-1.67,8.84,0.13190000000000002,0.4862,0.,0.,0.,0.,0.1192,0.4703,-
2005//1//22,22,07::33:32,17::12:01,12::22:31,4.144,13.509,2.218,3.137,2.919,9.333,0.924,3.1350000000000002,2.301,3.137,1.295,3.136,9.054,8.3,39.564,2.826,0.123125,1.23,-2.07,10.21,0.016900000000000002,0.10490000000000001,0.,0.,0.,0.,0.0112,0.0692,-
2005//1//23,23,07::32:30,17::13:39,12::22:46,4.189,13.648,2.257,3.138,3.009,9.333,1.045,3.138,3.124,3.137,1.212,3.137,8.426,8.723,40.096000000000004,2.6310000000000002,0.3657986111111111,2.19,1.29,19.16,0.0383,0.1794,0.,0.,0.,0.,0.0221,0.12150000000000001,-
2005//1//24,24,07::31:31,17::14:32,12::23:00,4.235,13.645,2.8930000000000002,3.137,4.346,9.332,2.471,3.136,6.7090000000000005,3.137,0.422,3.138,15.139000000000001,4.963,56.32,2.412,1.0335069444444445,4.59,1.78,19.1,0.0119,0.09770000000000001,0.,0.,0.,0.,0.007,0.0646,-
2005//1//25,25,07::30:55,17::15:38,12::23:14,4.282,13.679,2.327,3.138,3.0020000000000002,9.334,0.995,3.136,2.181,3.137,1.333,3.136,9.103,7.1770000000000005,40.716,2.731,2.809201388888889,6.38,12.71,16.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//26,26,07::30:17,17::17:08,12::23:27,4.329,13.691,0.677,3.1350000000000002,0.66,9.327,0.001,3.822,0.003,3.2800000000000002,0.675,3.1390000000000002,-3.7920000000000003,-10.553,6.257000000000001,11.094,1.0696527777777778,4.12,3.39,12.700000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//27,27,07::29:32,17::18:43,12::23:39,4.378,13.823,1.733,3.137,1.975,9.333,0.218,3.14,0.5700000000000001,3.137,1.5150000000000001,3.137,3.698,21.421,26.363,3.5220000000000002,1.8817013888888892,7.72,-0.04,12.05,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//28,28,07::28:35,17::19:38,12::23:50,4.429,13.842,1.432,3.138,1.5170000000000001,9.334,0.049,3.16,0.126,3.1430000000000002,1.383,3.137,0.9500000000000001,79.08800000000001,19.031,4.336,1.8519444444444448,7.38,4.58,11.790000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2005//1//29,29,07::27:18,17::20:46,12::24:00,4.48,13.864,3.164,3.137,4.6850000000000005,9.333,2.585,3.137,6.771,3.137,0.579,3.136,17.395,4.413,61.474000000000004,2.392,0.3105902777777778,1.21,-0.19,9.81,0.,0.,0.,0.,0.,0.,0.,0.,-
