Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GTI(15:180),GTI(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GTI(15:180)_original,GTI(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw(ASO),-,PV15kw(ASO),-,WindSpeed(ASO),-,Temperature(ASO),-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GTI(15:180),-,-,-,RSP,-,RSP,-,PV5kw(ASO),-,PV15kw(ASO),-,WS(ASO),-,TEMP(ASO),-,RSP,-,GTI(15:180),-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,microV/(W/m^2),9.586300000000001,microV/(W/m^2),-,-,9.8322,microV/(W/m^2),9.8322,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.8322,microV/(W/m^2),9.586300000000001,microV/(W/m^2),9.8322,microV/(W/m^2),9.8322,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.125,-,3.362,-,3.125,-,3.125,-,3.125,-,1.999,-,2.191,-,4.383,-,2.2,-,3.125,-,3.362,-,3.125,-,3.125,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2020-2-7
Year//Month,2020//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2020-02-05).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2020//1//1,1,07::40:10,16::48:30,12::14:16,3.474,12.841000000000001,0.785,3.128,0.802,3.376,0.027,3.1310000000000002,0.07,3.112,0.758,3.18,-5.86,-0.056,5.273,12.986,0.15602777777777774,1.94,4.41,11.69,-0.0181,0.0146,0.,0.,0.,0.,-0.1699,0.1388,-
2020//1//2,2,07::40:15,16::49:23,12::14:44,3.49,12.841000000000001,1.9020000000000001,3.126,2.79,3.37,1.039,3.125,2.779,3.125,0.863,3.173,-5.873,-0.056,21.302,3.649,0.09981944444444445,1.58,0.9400000000000001,11.51,-0.0055000000000000005,0.0092,0.,0.,0.,0.,-0.049,0.0833,-
2020//1//3,3,07::40:18,16::50:17,12::15:12,3.508,12.865,1.671,3.125,2.2600000000000002,3.373,0.591,3.1270000000000002,1.75,3.124,1.08,3.156,-5.825,-0.112,19.396,3.854,0.6360416666666667,5.3500000000000005,-1.75,12.42,-0.0008,0.0031000000000000003,0.,0.,0.,0.,-0.0041,0.019200000000000002,-
2020//1//4,4,07::40:18,16::51:13,12::15:40,3.527,12.888,1.8940000000000001,3.126,2.886,3.368,1.158,3.124,3.403,3.125,0.737,3.168,-5.892,-0.111,24.218,3.533,0.31110416666666674,3.88,2.32,11.96,-0.0045000000000000005,0.0094,0.,0.,0.,0.,-0.0211,0.045000000000000005,-
2020//1//5,5,07::40:16,16::52:10,12::16:07,3.548,12.911,1.081,3.125,1.303,3.415,0.17500000000000002,3.128,0.509,3.123,0.906,3.156,-5.8950000000000005,-0.083,10.295,7.073,0.13342361111111112,1.9000000000000001,0.51,8.34,-0.0009000000000000001,0.0036000000000000003,0.,0.,0.,0.,-0.0095,0.0304,-
2020//1//6,6,07::40:11,16::53:08,12::16:33,3.569,12.934000000000001,2.0260000000000002,3.125,2.967,3.369,1.0110000000000001,3.124,3.094,3.125,1.0150000000000001,3.156,-5.892,-0.028,25.21,3.117,0.17186805555555557,1.83,-1.23,9.25,-0.0017000000000000001,0.0047,0.,0.,0.,0.,-0.0142,0.0379,-
2020//1//7,7,07::40:03,16::54:08,12::16:59,3.593,12.957,-,-,-,-,-,-,-,-,0.923,3.168,-5.901,-0.028,15.428,4.962,0.1297986111111111,1.94,-1.55,7.97,-0.0008,0.0031000000000000003,0.,0.,0.,0.,-0.0106,0.035,-
2020//1//8,8,07::39:54,16::55:10,12::17:25,3.617,12.98,0.967,3.125,1.0230000000000001,3.378,0.073,3.129,0.302,3.123,0.893,3.182,-5.814,-0.056,7.429,8.446,0.06327083333333333,1.5,2.19,8.64,-0.0216,0.0131,0.,0.,0.,0.,-0.1913,0.1153,-
2020//1//9,9,07::39:42,16::56:13,12::17:50,3.6430000000000002,13.003,1.6580000000000001,3.126,2.277,3.3850000000000002,0.5650000000000001,3.125,1.5270000000000001,3.125,1.093,3.164,1.103,56.271,20.533,3.762,0.25145138888888896,1.76,-0.72,6.68,-0.0374,0.0102,0.,0.,0.,0.,-0.2783,0.0835,-
2020//1//10,10,07::39:29,16::57:16,12::18:14,3.67,13.049,1.941,3.125,2.572,3.3890000000000002,0.791,3.124,1.905,3.125,1.1500000000000001,3.158,2.05,26.054000000000002,23.545,3.5500000000000003,0.22543055555555555,2.95,-0.77,11.370000000000001,-0.022500000000000003,0.015600000000000001,0.,0.,0.,0.,-0.1666,0.14100000000000001,-
2020//1//11,11,07::39:11,16::58:21,12::18:38,3.6990000000000003,13.071,1.27,3.125,1.5270000000000001,3.388,0.292,3.125,0.78,3.126,0.978,3.166,-1.6520000000000001,-26.299,11.878,6.365,0.4115347222222222,4.12,2.2800000000000002,6.,-0.0183,0.0158,0.,0.,0.,0.,-0.1155,0.1115,-
2020//1//12,12,07::38:52,16::59:27,12::19:02,3.729,13.093,1.189,3.125,1.3900000000000001,3.392,0.201,3.119,0.508,3.123,0.988,3.16,-2.145,-15.458,11.77,5.541,0.15447916666666667,3.68,1.09,10.040000000000001,-0.0362,0.012400000000000001,0.,0.,0.,0.,-0.24930000000000002,0.0897,-
