Station ID Number:,94170,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,,-,N3,-,,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),,-,8.2511,microV/(W/m^2),,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//01,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2000//1//1,1,07::30:11,16::29:14,11::59:32,3.2600000000000002,12.671000000000001,0.9460000000000001,10.764,0.047,12.201,0.258,4.3020000000000005,0.899,11.327,-13.56,0.12,-5.5437,1.5989,0.0736,0.626,-
2000//1//2,2,07::30:14,16::29:55,12::00:00,3.2760000000000002,12.67,1.294,7.806,0.17200000000000001,5.166,0.728,3.277,1.122,9.078,-10.49,-0.01,-5.3436,0.8253,-0.0994,0.3427,-
2000//1//3,3,07::30:15,16::30:44,12::00:28,3.294,12.67,1.157,8.958,0.006,73.82300000000001,0.021,21.128,1.151,9.005,-4.75,0.72,-5.7104,1.1616,0.0317,0.1178,-
2000//1//4,4,07::30:14,16::31:49,12::00:56,3.313,12.67,1.625,6.335,0.729,3.0060000000000002,2.598,2.816,0.897,10.962,-4.62,4.33,-5.5488,1.8308,0.028,0.38070000000000004,-
2000//1//5,5,07::30:11,16::33:08,12::01:23,3.333,12.671000000000001,1.826,5.735,0.685,3.1510000000000002,2.613,2.829,1.141,9.042,-11.31,1.42,-5.3180000000000005,1.0431000000000001,-0.2151,0.4318,-
2000//1//6,6,07::30:06,16::34:03,12::01:49,3.354,12.790000000000001,1.986,5.216,1.124,2.861,3.71,2.761,0.862,11.884,-14.17,0.14,-4.1509,0.7507,-0.0115,0.1935,-
2000//1//7,7,07::29:59,16::34:48,12::02:16,3.3770000000000002,12.792,1.234,8.325,0.013000000000000001,29.84,0.038,11.237,1.221,8.448,-4.03,1.71,-3.7373000000000003,0.8519,0.1222,0.127,-
2000//1//8,8,07::29:50,16::35:45,12::02:41,3.402,12.795,2.2680000000000002,4.621,2.04,2.769,6.799,2.742,0.228,44.262,-3.,5.46,-5.1753,2.0494,0.0374,0.2989,-
2000//1//9,9,07::29:38,16::37:00,12::03:06,3.428,12.799,1.383,7.311,0.41100000000000003,3.298,1.33,2.862,0.971,10.398,-1.05,5.92,-6.6854000000000005,1.6712,0.0114,0.16720000000000002,-
2000//1//10,10,07::29:23,16::38:28,12::03:31,3.455,12.804,0.916,11.116,0.,100,0.001,367.172,0.916,11.116,-1.9000000000000001,4.74,-7.425000000000001,1.6598000000000002,-0.0129,0.2378,-
2000//1//11,11,07::29:04,16::39:19,12::03:55,3.483,12.928,0.905,11.653,0.164,5.203,0.631,3.469,0.74,14.256,-7.42,4.28,-8.107000000000001,1.2205000000000001,-0.044700000000000004,0.4499,-
2000//1//12,12,07::28:42,16::40:13,12::04:19,3.513,12.936,1.748,6.066,0.509,3.464,1.451,2.971,1.24,8.505,-12.43,-1.09,-5.1654,1.0987,-0.25620000000000004,0.5650000000000001,-
2000//1//13,13,07::28:13,16::41:24,12::04:41,3.544,12.946,1.227,8.595,0.002,174.844,0.008,45.897,1.224,8.639,-7.24,5.24,-4.869000000000001,1.3548,0.09040000000000001,0.42210000000000003,-
2000//1//14,14,07::27:37,16::42:58,12::05:04,3.577,12.959,1.497,7.244,0.04,10.855,0.107,5.418,1.457,7.674,-0.04,6.8100000000000005,-5.477600000000001,1.1555,0.0039000000000000003,0.6536000000000001,-
2000//1//15,15,07::27:00,16::44:05,12::05:25,3.611,13.078,0.652,15.618,0.,100,0.,100,0.652,15.618,0.49,2.72,-4.8846,1.0428,0.156,0.202,-
2000//1//16,16,07::26:21,16::45:00,12::05:46,3.646,13.076,2.32,4.621,1.881,2.7760000000000002,5.824,2.743,0.44,22.316,-1.5,5.88,-6.53,1.3553000000000002,0.0429,0.3705,-
2000//1//17,17,07::26:00,16::46:12,12::06:06,3.682,13.11,1.2550000000000001,8.331,0.515,3.499,2.007,2.919,0.739,14.148,-5.93,3.04,-5.3199000000000005,1.1152,-0.2447,0.402,-
2000//1//18,18,07::25:35,16::47:50,12::06:26,3.72,13.117,0.747,14.362,0.001,384.657,0.003,135.99,0.746,14.381,-4.37,1.36,-3.8338,0.7079000000000001,0.013900000000000001,0.1764,-
2000//1//19,19,07::25:06,16::49:03,12::06:45,3.759,13.244,1.221,8.486,0.234,3.398,0.5650000000000001,2.991,0.987,10.413,-0.99,4.12,-4.9994000000000005,1.8753000000000002,0.1316,0.1165,-
2000//1//20,20,07::24:31,16::50:01,12::07:03,3.799,13.256,1.841,5.742,0.603,3.311,2.1670000000000003,2.874,1.238,8.463000000000001,-2.5100000000000002,7.69,-4.7978000000000005,1.1560000000000001,-0.043500000000000004,0.4163,-
2000//1//21,21,07::23:49,16::51:16,12::07:20,3.84,13.27,1.5150000000000001,7.081,0.129,5.7170000000000005,0.47000000000000003,3.333,1.3860000000000001,7.74,-4.9,3.04,-5.0641,0.9412,-0.1438,0.317,-
2000//1//22,22,07::22:53,16::52:58,12::07:37,3.883,13.289,1.7610000000000001,6.168,0.444,3.58,1.443,2.968,1.317,8.258000000000001,-4.72,7.24,-5.5345,1.2086000000000001,-0.18780000000000002,0.388,-
2000//1//23,23,07::21:51,16::54:09,12::07:52,3.927,13.413,1.02,10.25,0.006,66.242,0.016,26.648,1.0130000000000001,10.321,-5.17,1.,-4.6154,1.2316,0.0315,0.2912,-
2000//1//24,24,07::21:05,16::55:11,12::08:07,3.972,13.443,0.58,17.713,0.,100,0.001,332.204,0.579,17.744,-0.42,2.19,-6.0474000000000006,1.6258000000000001,0.0442,0.057300000000000004,-
2000//1//25,25,07::20:30,16::56:32,12::08:22,4.018,13.454,1.7630000000000001,6.244,0.5750000000000001,3.235,1.6420000000000001,2.892,1.188,9.241,-1.2,7.,-4.3314,1.0124,0.052700000000000004,0.2531,-
2000//1//26,26,07::19:47,16::58:19,12::08:35,4.065,13.468,2.735,4.354,2.2640000000000002,2.7680000000000002,6.234,2.744,0.47300000000000003,23.065,-6.0200000000000005,1.95,-5.6367,1.0858,0.07400000000000001,0.3699,-
2000//1//27,27,07::18:54,16::59:22,12::08:48,4.113,13.603,2.597,4.463,2.041,2.785,6.271,2.745,0.557,19.424,-8.59,3.75,-5.6042000000000005,0.7187,-0.27990000000000004,0.36610000000000004,-
2000//1//28,28,07::17:42,17::00:29,12::08:59,4.163,13.628,2.907,4.072,2.73,2.758,7.986,2.739,0.181,55.253,-11.58,1.54,-5.3704,0.8073,-0.32480000000000003,0.2881,-
2000//1//29,29,07::16:25,17::02:00,12::09:10,4.214,13.629,2.854,4.139,2.465,2.763,7.091,2.741,0.391,27.205000000000002,-12.450000000000001,0.5700000000000001,-6.7026,1.7388000000000001,-0.18630000000000002,0.1779,-
