Station ID Number:,94169,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.390000000000001,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.111110000000004,microV?/C,7.390000000000001,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188.,-,-,-,-,Estimated Uncertainty (U95%):,2.8000000000000003,-,2.5300000000000002,-,2.5300000000000002,-,3.774,-,2.2,-,2.8000000000000003,-,2.5300000000000002,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-7-16
Year//Month,1981//01,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-07-10).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1981//1//1,1,07::39:38,16::22:43,12::00:55,2.865,12.157,0.23800000000000002,5.804,0.001,2060.255,0.002,1073.05,0.23800000000000002,20.786,7.04,8.61,1.1878,0.2245,2.4805,0.2167,-
1981//1//2,2,07::39:38,16::23:49,12::01:23,2.882,12.274000000000001,0.834,3.3970000000000002,0.108,30.836000000000002,0.41500000000000004,10.,0.726,7.304,3.0300000000000002,11.15,0.8559,0.5729000000000001,2.5384,0.3326,-
1981//1//3,3,07::39:36,16::24:30,12::01:51,2.9,12.275,0.645,3.561,0.002,1459.347,0.006,500.75600000000003,0.643,7.917,5.37,9.19,1.1007,0.29100000000000004,2.5538000000000003,0.262,-
1981//1//4,4,07::39:30,16::25:19,12::02:18,2.919,12.277000000000001,0.833,3.391,0.003,1044.435,0.01,317.623,0.8300000000000001,6.462,2.34,9.98,0.5248,0.7993,2.4941,0.38630000000000003,-
1981//1//5,5,07::39:22,16::26:23,12::02:45,2.94,12.280000000000001,0.725,3.553,0.085,37.672000000000004,0.23700000000000002,15.377,0.639,8.387,0.87,12.620000000000001,-0.0356,1.1216000000000002,2.6095,0.5657,-
1981//1//6,6,07::39:12,16::27:49,12::03:11,2.962,12.284,1.691,3.111,1.016,4.655,3.524,2.912,0.676,7.594,-0.79,14.48,-0.18000000000000002,0.6973,2.7229,0.3556,-
1981//1//7,7,07::38:58,16::28:58,12::03:37,2.986,12.406,0.7010000000000001,3.4490000000000003,0.003,1330.5810000000001,0.028,144.095,0.6980000000000001,7.45,-1.18,7.43,-0.2912,1.0954000000000002,2.3811,0.41390000000000005,-
1981//1//8,8,07::38:39,16::29:47,12::04:02,3.011,12.413,0.555,3.709,0.002,1931.489,0.017,233.284,0.553,9.352,-3.24,3.3200000000000003,-0.2624,0.9607,2.6154,0.32130000000000003,-
1981//1//9,9,07::38:16,16::30:49,12::04:27,3.0380000000000003,12.421,0.759,3.553,0.019,137.802,0.066,43.587,0.739,7.377,1.75,6.75,0.6419,0.2273,2.6218,0.2359,-
1981//1//10,10,07::37:47,16::32:15,12::04:52,3.065,12.432,0.35100000000000003,4.551,0.,100,0.001,858.44,0.35100000000000003,14.607000000000001,2.44,4.,0.6792,0.2258,2.7383,0.22640000000000002,-
1981//1//11,11,07::37:13,16::33:45,12::05:15,3.094,12.438,0.199,7.014,0.,100,0.001,2832.851,0.199,25.764,1.95,2.73,0.5457000000000001,0.24330000000000002,2.6407000000000003,0.22590000000000002,-
1981//1//12,12,07::36:40,16::34:37,12::05:38,3.125,12.554,0.256,5.6000000000000005,0.001,2961.617,0.002,2038.794,0.256,20.028,1.75,3.0300000000000002,0.5531,0.2359,2.6943,0.17020000000000002,-
1981//1//13,13,07::36:10,16::35:41,12::06:01,3.157,12.583,0.209,6.6160000000000005,0.001,3133.3050000000003,0.016,214.09300000000002,0.20800000000000002,24.217,0.58,2.14,0.36010000000000003,0.24730000000000002,2.6211,0.18860000000000002,-
1981//1//14,14,07::35:48,16::37:12,12::06:23,3.19,12.59,0.269,5.556,0.001,2146.099,0.002,1094.511,0.269,19.231,-0.11,1.6500000000000001,0.0229,0.234,2.7640000000000002,0.1917,-
1981//1//15,15,07::35:23,16::38:47,12::06:44,3.224,12.716000000000001,0.222,6.3500000000000005,0.001,2489.475,0.004,633.099,0.221,23.199,0.09,1.26,0.1637,0.2336,2.8498,0.2049,-
1981//1//16,16,07::34:54,16::39:42,12::07:04,3.2600000000000002,12.726,0.225,6.203,0.,100,0.001,557.986,0.225,22.587,-0.01,1.26,0.012100000000000001,0.3045,2.7482,0.21150000000000002,-
1981//1//17,17,07::34:18,16::40:53,12::07:24,3.297,12.738,0.609,3.725,0.008,354.106,0.022,136.57,0.601,9.347,0.58,4.4,0.0098,0.4828,2.6332,0.2137,-
1981//1//18,18,07::33:33,16::42:36,12::07:43,3.335,12.754,0.36,4.465,0.001,3004.539,0.003,1073.05,0.36,14.517,1.26,3.22,0.5398000000000001,0.2432,2.6165000000000003,0.17,-
1981//1//19,19,07::32:32,16::44:00,12::08:01,3.375,12.892,0.594,3.708,0.002,965.745,0.013000000000000001,238.088,0.592,9.200000000000001,2.24,5.86,0.509,0.3618,2.7003,0.23070000000000002,-
1981//1//20,20,07::31:33,16::45:02,12::08:19,3.416,12.891,0.315,4.833,0.001,3219.149,0.002,1673.957,0.315,16.705000000000002,-0.6,3.42,0.2669,0.9314,2.6293,0.3896,-
1981//1//21,21,07::30:54,16::46:24,12::08:36,3.458,12.926,0.6990000000000001,3.632,0.004,708.213,0.01,300.454,0.6950000000000001,8.118,2.73,7.43,0.8373,0.2461,2.5906000000000002,0.21630000000000002,-
1981//1//22,22,07::30:17,16::48:15,12::08:52,3.501,12.938,0.791,3.448,0.004,826.248,0.011,312.16,0.787,7.155,4.79,9.98,0.9853000000000001,0.25170000000000003,2.6189,0.2162,-
1981//1//23,23,07::29:31,16::49:24,12::09:07,3.545,13.07,0.605,3.754,0.003,1244.738,0.008,488.238,0.602,9.121,5.28,10.370000000000001,0.8115,0.41000000000000003,2.5344,0.2765,-
