Station ID Number:,94249,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(90:180),GHI_Tilt(90:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(90:180)_original,GHI_Tilt(90:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,SIO,-,-,-,-,Element:,1000,-,1960,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,1960_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,SilverLake_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY40691_GHI),-,LICOR(PY22973),-,RSP(PY40691_DNI),-,RSP(PY40691_DNI),-,RSP(PY40691_DHI),-,Temperature(SIO),-,RSP(PY40691_GHI),-,LICOR(PY22973),-,RSP(PY40691_DNI),-,RSP(PY40691_DHI),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,43.11896,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,-,-,RSP,-,RSP,-,TEMP(SIO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-121.05879,-,-,-,-,Responsivity:,10.0302,microV/(W/m^2),14.715800000000002,microV/(W/m^2),-,-,10.0302,microV/(W/m^2),10.0302,microV/(W/m^2),1000.0000000000001,microV?/C,10.0302,microV/(W/m^2),14.715800000000002,microV/(W/m^2),10.0302,microV/(W/m^2),10.0302,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1324.,-,-,-,-,Estimated Uncertainty (U95%):,2.525,-,4.638,-,2.525,-,2.525,-,2.525,-,2.2,-,2.525,-,4.638,-,2.525,-,2.525,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-8-16
Year//Month,2014//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-07-10).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/88.5
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2014//1//1,1,07::36:44,16::39:18,12::07:56,3.323,12.677,2.311,2.665,5.271,4.638,1.619,2.665,5.212,2.868,0.6920000000000001,2.5260000000000002,-8.27,9.18,-0.0014,0.0039000000000000003,0.005200000000000001,0.007200000000000001,0.,0.,-0.0051,0.0297,-
2014//1//2,2,07::36:46,16::40:12,12::08:24,3.34,12.700000000000001,2.344,3.028,5.555,4.73,1.607,2.952,5.638,3.129,0.737,2.524,-10.03,12.48,-0.0036000000000000003,0.0073,0.010400000000000001,0.014,0.,0.,-0.0053,0.0213,-
2014//1//3,3,07::36:47,16::41:08,12::08:52,3.359,12.724,2.34,2.525,5.726,4.638,1.934,2.5260000000000002,6.002,2.525,0.405,2.529,-10.11,11.540000000000001,-0.0006000000000000001,0.0025,0.0031000000000000003,0.0078000000000000005,0.,0.,-0.0011,0.0105,-
2014//1//4,4,07::36:45,16::42:06,12::09:19,3.378,12.747,2.576,2.525,6.598,4.638,2.211,2.525,7.3500000000000005,2.525,0.366,2.5220000000000002,-15.75,5.43,-0.0304,0.0342,0.056600000000000004,0.039900000000000005,0.,0.,-0.057800000000000004,0.0847,-
2014//1//5,5,07::36:40,16::43:05,12::09:46,3.399,12.77,2.524,2.525,6.356,4.638,2.122,2.525,6.982,2.525,0.402,2.524,-15.96,5.94,-0.0443,0.051000000000000004,0.059500000000000004,0.0514,0.,0.,-0.0711,0.09040000000000001,-
