Station ID Number:,94291,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,STW,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Seattle_Washington_USA,-,-,-,-,Instrument Serial Number:,PSP(23620F3),-,NIP(17009E6),-,NIP(17009E6),-,Computed from GHI and DNI,-,Temperature(STW),-,PSP(23620F3),-,NIP(17009E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,47.653871,-,-,-,-,Instrument Shorthand Name:,PSP(10),-,-,-,NIP(11),-,-,-,TEMP(STW),-,PSP(10),-,NIP(11),-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.309481,-,-,-,-,Responsivity:,8.2956,microV/(W/m^2),-,-,8.3514,microV/(W/m^2),-,-,1000.0000000000001,microV?/C,8.2956,microV/(W/m^2),8.3514,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,30.,-,-,-,-,Estimated Uncertainty (U95%):,2.5420000000000003,-,2.75,-,2.75,-,3.745,-,2.2,-,2.5420000000000003,-,2.75,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-10-19
Year//Month,2016//01,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: Check data (2018-10-17).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//1//1,1,07::58:30,16::27:07,12::12:43,2.551,11.878,1.641,4.077,-,-,-,-,-,-,-0.02,10.74,-4.1481,0.2528,-0.5149,0.5052,-
2016//1//2,2,07::58:29,16::28:05,12::13:11,2.567,11.902000000000001,1.623,4.107,-,-,-,-,-,-,-0.47000000000000003,9.27,-4.384,0.3668,-0.5396000000000001,0.49060000000000004,-
2016//1//3,3,07::58:24,16::29:06,12::13:39,2.584,11.926,0.549,11.906,-,-,-,-,-,-,1.5,5.6000000000000005,-3.6201000000000003,1.0799,-0.2937,0.381,-
2016//1//4,4,07::58:17,16::30:08,12::14:06,2.603,11.972,0.372,17.603,-,-,-,-,-,-,1.99,3.79,-3.3400000000000003,0.7291000000000001,-0.1841,0.2807,-
2016//1//5,5,07::58:07,16::31:13,12::14:33,2.623,11.996,0.396,15.929,-,-,-,-,-,-,3.18,7.33,-2.8754,0.6950000000000001,-0.0975,0.2787,-
2016//1//6,6,07::57:54,16::32:19,12::15:00,2.644,12.019,1.44,4.565,-,-,-,-,-,-,4.8500000000000005,14.030000000000001,-3.6407000000000003,0.5587,-0.3118,0.42960000000000004,-
2016//1//7,7,07::57:39,16::33:28,12::15:26,2.6670000000000003,12.042,0.66,9.994,-,-,-,-,-,-,3.11,7.71,-2.9184,0.616,-0.20520000000000002,0.29710000000000003,-
2016//1//8,8,07::57:21,16::34:38,12::15:51,2.691,12.112,1.314,5.072,-,-,-,-,-,-,4.24,10.73,-3.212,0.779,-0.251,0.2904,-
2016//1//9,9,07::56:59,16::35:51,12::16:16,2.716,12.134,1.115,6.039,0.545,3.331,2.113,2.88,0.5700000000000001,11.694,1.25,11.790000000000001,-3.1632000000000002,0.6544,-0.1126,0.2797,-
2016//1//10,10,07::56:35,16::37:05,12::16:41,2.743,12.157,1.723,3.935,1.544,2.771,6.002,2.7520000000000002,0.179,36.821,3.34,12.69,-3.4596,0.8764000000000001,-0.2639,0.4182,-
2016//1//11,11,07::56:08,16::38:20,12::17:05,2.771,12.203,0.509,12.938,0.04,10.883000000000001,0.147,4.852,0.46900000000000003,14.166,1.6400000000000001,8.88,-3.6406,0.5238,0.0126,0.47690000000000005,-
2016//1//12,12,07::55:39,16::39:37,12::17:28,2.801,12.249,0.389,16.555,0.001,194.678,0.002,101.371,0.388,16.737000000000002,5.62,9.47,-3.8498,0.8643000000000001,0.054700000000000006,0.41000000000000003,-
2016//1//13,13,07::55:06,16::40:57,12::17:51,2.832,12.294,0.436,14.854000000000001,0.001,230.388,0.004,57.885,0.435,15.012,6.42,12.49,-3.7950000000000004,0.991,0.0855,0.5478000000000001,-
2016//1//14,14,07::54:32,16::42:16,12::18:13,2.864,12.316,1.572,4.346,1.053,2.834,3.852,2.766,0.519,13.05,4.49,11.71,-3.7425,0.7938000000000001,-0.2918,0.34590000000000004,-
2016//1//15,15,07::53:54,16::43:37,12::18:35,2.898,12.385,0.623,10.839,0.003,155.89600000000002,0.009000000000000001,55.251,0.62,11.049,1.86,8.76,-3.4222,0.8455,-0.059000000000000004,0.2762,-
2016//1//16,16,07::53:14,16::45:01,12::18:56,2.9330000000000003,12.431000000000001,0.893,7.518,0.17200000000000001,4.36,0.547,3.248,0.722,9.382,5.86,12.280000000000001,-4.2783,0.685,-0.0176,0.31880000000000003,-
2016//1//17,17,07::52:31,16::46:24,12::19:16,2.969,12.452,0.395,16.547,0.001,430.826,0.005,92.003,0.394,16.728,6.91,9.81,-3.37,0.5859,-0.040100000000000004,0.35650000000000004,-
2016//1//18,18,07::51:45,16::47:50,12::19:35,3.0060000000000002,12.521,1.211,5.759,0.247,4.015,0.706,3.1310000000000002,0.964,7.194,7.08,13.280000000000001,-4.0174,1.3521,-0.009000000000000001,0.5846,-
2016//1//19,19,07::50:57,16::49:16,12::19:54,3.045,12.565,0.382,17.488,0.001,290.289,0.003,103.291,0.381,17.681,5.95,9.620000000000001,-3.8400000000000003,0.6995,-0.1462,0.3209,-
2016//1//20,20,07::50:07,16::50:42,12::20:12,3.085,12.634,1.102,6.267,0.08600000000000001,6.434,0.24,4.045,1.016,6.906000000000001,5.93,11.74,-3.6394,1.2337,-0.0055000000000000005,0.33840000000000003,-
2016//1//21,21,07::49:14,16::52:11,12::20:29,3.126,12.678,0.18,37.781,0.,100,0.001,353.646,0.179,38.31,7.,10.4,-3.9683,0.222,-0.09920000000000001,0.2036,-
2016//1//22,22,07::48:20,16::53:39,12::20:45,3.169,12.746,1.3820000000000001,5.131,0.613,3.12,2.314,2.837,0.769,9.095,8.08,14.19,-3.9189000000000003,0.4999,-0.0801,0.3294,-
2016//1//23,23,07::47:22,16::55:09,12::21:01,3.213,12.790000000000001,0.242,27.406,0.,100,0.001,426.218,0.242,27.636,6.48,8.57,-3.2785,0.8605,-0.058,0.30710000000000004,-
2016//1//24,24,07::46:22,16::56:39,12::21:16,3.258,12.858,1.49,4.808,0.5730000000000001,3.089,2.214,2.8120000000000003,0.917,7.688,5.3,11.64,-3.5151000000000003,0.6135,-0.1549,0.3723,-
2016//1//25,25,07::45:20,16::58:11,12::21:30,3.3040000000000003,12.902000000000001,1.429,4.998,0.451,3.472,1.5350000000000001,2.906,0.978,7.29,3.2800000000000002,13.530000000000001,-3.2253000000000003,0.6708000000000001,-0.0838,0.2582,-
2016//1//26,26,07::44:16,16::59:42,12::21:44,3.351,12.969,0.422,15.887,0.002,255.155,0.005,105.748,0.42,16.097,8.08,12.700000000000001,-3.2922000000000002,1.0434,-0.1423,0.3483,-
2016//1//27,27,07::43:09,17::01:14,12::21:56,3.4,13.012,0.56,12.248000000000001,0.025,20.472,0.066,9.413,0.535,13.034,9.89,14.68,-3.7461,0.7585000000000001,-0.1776,0.3035,-
2016//1//28,28,07::42:00,17::02:47,12::22:08,3.45,13.079,1.032,7.086,0.28300000000000003,3.487,1.201,2.887,0.749,9.834,8.68,14.120000000000001,-4.155600000000001,0.3508,-0.1499,0.2711,-
2016//1//29,29,07::40:49,17::04:20,12::22:19,3.501,13.123000000000001,1.1420000000000001,6.121,0.365,3.621,1.18,3.004,0.777,8.937,6.3500000000000005,11.200000000000001,-3.4761,0.507,-0.1569,0.2501,-
2016//1//30,30,07::39:37,17::05:54,12::22:29,3.553,13.189,1.343,5.462,0.233,4.556,0.793,3.194,1.11,6.686,4.83,9.21,-3.3235,0.7031000000000001,-0.0737,0.2701,-
2016//1//31,31,07::38:23,17::07:27,12::22:38,3.606,13.256,0.779,9.254,0.007,78.41,0.061,11.038,0.772,9.42,4.21,7.76,-3.4156,0.6634,-0.14980000000000002,0.2772,-
