Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY35962),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw,PV15kw,WS,TEMP
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.792900000000001,9.439430000000002,,9.792900000000001,9.792900000000001,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.1590000000000003,9.332,3.1590000000000003,3.1590000000000003,3.1590000000000003,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2002//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
2002//01,0,100,158.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.83,0.0,0.76,2.38
2002//01,100,200,154.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.27,0.0,0.63,2.16
2002//01,200,300,146.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.22,0.0,0.74,2.21
2002//01,300,400,135.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.79,0.0,0.72,2.11
2002//01,400,500,124.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.91,0.0,0.71,1.94
2002//01,500,600,113.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.8,0.0,0.62,1.85
2002//01,600,700,102.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-247.74,0.0,0.61,1.72
2002//01,700,800,88.0,116.0,16.728,508.585,4.36,4.74,0.3,4.92,4.05,-250.12,1.4,0.67,1.46
2002//01,800,900,82.0,127.0,193.025,1413.084,69.94,82.2,23.68,151.54,46.26,75.59,699.68,0.7,2.03
2002//01,900,1000,74.0,138.0,386.945,1413.076,166.71,208.23,65.45,227.99,101.26,825.74,2616.17,0.73,3.01
2002//01,1000,1100,68.0,152.0,533.045,1413.068,254.93,320.66,113.37,296.06,141.56,1534.02,4692.52,0.86,3.91
2002//01,1100,1200,64.0,166.0,620.445,1413.06,292.72,370.97,132.49,296.72,160.23,1855.65,5541.97,1.03,4.6
2002//01,1200,1300,63.0,182.0,643.043,1413.052,325.78,418.86,160.37,344.26,165.42,2108.64,6205.05,1.14,5.44
2002//01,1300,1400,65.0,197.0,599.28,1413.043,276.43,341.47,111.21,254.62,165.22,1624.75,5024.94,1.1,5.99
2002//01,1400,1500,70.0,212.0,492.192,1413.036,191.42,235.05,71.59,200.78,119.82,848.85,3128.55,1.06,6.2
2002//01,1500,1600,76.0,225.0,329.335,1413.027,126.75,156.86,43.14,173.63,83.61,304.25,1542.66,0.93,6.27
2002//01,1600,1700,84.0,236.0,124.972,1355.969,27.3,27.15,1.45,8.36,25.85,-212.45,80.02,0.84,5.82
2002//01,1700,1800,92.0,246.0,3.058,151.713,1.24,1.07,0.0,0.16,1.23,-258.8,0.0,0.7,4.83
2002//01,1800,1900,105.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261.83,0.0,0.66,4.03
2002//01,1900,2000,116.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.73,0.0,0.67,3.52
2002//01,2000,2100,127.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.57,0.0,0.69,3.19
2002//01,2100,2200,138.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.8,0.0,0.78,2.85
2002//01,2200,2300,148.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258.37,0.0,0.83,2.66
2002//01,2300,2400,156.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-255.3,0.0,0.8,2.52
2002//02,0,100,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-245.32,0.0,0.74,4.5
2002//02,100,200,148.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.91,0.0,0.7,4.22
2002//02,200,300,140.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.9,0.0,0.64,3.88
2002//02,300,400,131.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-242.68,0.0,0.49,3.52
2002//02,400,500,120.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.19,0.0,0.6,3.3
2002//02,500,600,109.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-241.29,0.0,0.69,3.2
