Station_ID_Number:,94040,-,-.1,-.2,-.3,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35965_GHI),LICOR(PY35962),RSP(PY35965_DNI),RSP(PY35965_DNI),RSP(PY35965_DHI),PV5kw,PV15kw,WS,TEMP
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,10.328600000000002,9.439430000000002,-,10.328600000000002,10.328600000000002,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.137,9.332,3.137,3.137,3.137,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2005//01,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2005//01,0,100,158.0,5.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-267.92,0.0,0.58,2.49
2005//01,100,200,154.0,39.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-267.81,0.0,0.49,2.34
2005//01,200,300,146.0,61.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-267.09,0.0,0.39,2.13
2005//01,300,400,135.0,76.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-267.12,0.0,0.42,1.88
2005//01,400,500,124.0,87.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-264.87,0.0,0.43,1.65
2005//01,500,600,113.0,97.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-264.57,0.0,0.49,1.44
2005//01,600,700,102.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.47,0.0,0.53,1.2
2005//01,700,800,88.0,116.0,16.821,552.036,4.74,5.33,0.52,7.53,4.22,-260.76,7.3,0.56,1.2
2005//01,800,900,82.0,127.0,192.583,1406.877,68.07,82.44,23.72,153.82,44.5,69.13,686.67,0.67,1.96
2005//01,900,1000,74.0,138.0,385.889,1406.869,152.59,201.66,57.01,206.13,95.59,779.22,2405.76,0.77,2.94
2005//01,1000,1100,68.0,151.0,531.498,1406.861,237.85,307.35,93.7,245.2,144.15,1397.12,4282.0,0.76,3.89
2005//01,1100,1200,64.0,166.0,618.644,1406.853,296.83,394.46,143.79,322.66,153.04,1903.36,5600.42,0.91,4.93
2005//01,1200,1300,63.0,182.0,641.253,1406.845,318.13,422.75,152.92,330.1,165.21,2042.81,6001.46,0.92,5.91
2005//01,1300,1400,65.0,197.0,597.765,1406.836,291.66,395.21,155.32,357.33,136.34,1811.84,5538.96,0.88,6.63
2005//01,1400,1500,69.0,212.0,491.193,1406.828,225.84,304.1,108.13,298.4,117.71,1058.91,3881.11,0.92,7.13
2005//01,1500,1600,76.0,225.0,329.04,1406.821,137.84,188.27,61.79,242.58,76.05,283.49,1627.61,0.77,7.48
2005//01,1600,1700,84.0,236.0,125.303,1350.012,31.38,34.26,4.05,20.7,27.33,-210.59,106.08,0.55,6.72
2005//01,1700,1800,92.0,246.0,3.115,154.817,1.34,1.31,0.0,0.0,1.34,-267.47,0.0,0.45,5.61
2005//01,1800,1900,105.0,256.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-270.59,0.0,0.51,4.81
2005//01,1900,2000,116.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.44,0.0,0.52,4.3
2005//01,2000,2100,127.0,275.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-270.71,0.0,0.35,3.54
2005//01,2100,2200,138.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.44,0.0,0.32,3.14
2005//01,2200,2300,148.0,304.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-270.56,0.0,0.37,2.97
2005//01,2300,2400,156.0,329.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-269.76,0.0,0.6,2.74
2005//02,0,100,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268.49,0.0,0.81,0.0
2005//02,100,200,147.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268.09,0.0,0.7,0.0
2005//02,200,300,140.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.16,0.0,0.53,0.0
2005//02,300,400,131.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.41,0.0,0.52,0.0
2005//02,400,500,120.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263.89,0.0,0.52,0.0
2005//02,500,600,109.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263.38,0.0,0.43,0.0
2005//02,600,700,97.0,100.0,0.372,28.075,0.3,0.0,0.0,0.0,0.3,-262.57,0.0,0.52,0.0
2005//02,700,800,84.0,110.0,92.682,1140.527,37.6,0.0,17.63,147.03,19.96,-159.25,162.23,0.47,0.0
2005//02,800,900,76.0,121.0,322.869,1401.676,168.8,0.0,105.71,437.9,63.09,838.59,2193.46,0.68,0.0
2005//02,900,1000,68.0,133.0,527.567,1401.654,311.67,0.0,212.73,554.8,98.94,2070.18,5654.42,1.01,0.0
2005//02,1000,1100,61.0,147.0,682.967,1401.63,438.63,0.0,313.06,637.41,125.57,3009.79,8469.96,1.32,0.0
2005//02,1100,1200,56.0,163.0,778.144,1401.606,488.86,0.0,340.88,610.13,147.98,3307.55,9148.14,1.46,0.0
2005//02,1200,1300,55.0,181.0,806.541,1401.581,515.81,0.0,359.01,617.7,156.8,3464.15,8811.37,1.49,0.0
2005//02,1300,1400,57.0,199.0,766.222,1401.558,463.33,0.0,291.16,531.08,172.17,2990.24,7729.4,1.47,0.0
2005//02,1400,1500,62.0,215.0,659.964,1401.536,373.2,0.0,218.98,467.16,154.22,2235.36,6592.17,1.33,0.0
2005//02,1500,1600,69.0,229.0,495.12,1401.511,265.92,0.0,145.32,412.51,120.59,1333.16,3840.12,1.25,0.0
2005//02,1600,1700,78.0,241.0,283.421,1401.488,112.04,0.0,47.2,198.88,64.83,240.89,795.72,1.06,0.0
2005//02,1700,1800,85.0,251.0,60.325,962.725,14.65,0.0,0.01,0.56,14.64,-254.97,17.45,0.82,0.0
2005//02,1800,1900,99.0,261.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,-270.42,0.0,0.66,0.0
2005//02,1900,2000,110.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.98,0.0,0.7,0.0
2005//02,2000,2100,121.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.86,0.0,0.75,0.0
2005//02,2100,2200,131.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.11,0.0,0.82,0.0
2005//02,2200,2300,141.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.81,0.0,0.72,0.0
2005//02,2300,2400,148.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.81,0.0,0.74,0.0
2005//03,0,100,139.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.22,0.0,0.5,0.0
2005//03,100,200,137.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.52,0.0,0.54,0.0
2005//03,200,300,130.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.21,0.0,0.49,0.0
2005//03,300,400,122.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.06,0.0,0.62,0.0
2005//03,400,500,111.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-267.14,0.0,0.68,0.0
2005//03,500,600,100.0,82.0,0.006,1.516,0.09,0.0,0.0,0.0,0.09,-265.82,0.0,0.71,0.0
2005//03,600,700,86.0,93.0,57.506,833.415,15.96,0.0,3.35,26.5,12.59,-248.81,53.36,0.82,0.0
2005//03,700,800,77.0,103.0,286.459,1381.367,128.03,0.0,65.98,301.31,62.04,256.46,1242.51,0.81,0.0
2005//03,800,900,67.0,114.0,526.178,1381.335,272.71,0.0,149.54,401.83,123.17,1347.28,4063.29,0.86,0.0
2005//03,900,1000,58.0,127.0,729.137,1381.304,404.73,0.0,235.75,454.04,168.98,2335.84,6663.96,1.09,0.0
