Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,5,3.362,10,10,30,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2019//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2019//01,0,100,158.0,6.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-247.02,0.0,0.91,4.39
2019//01,100,200,154.0,40.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-248.25,0.0,0.72,4.07
2019//01,200,300,145.0,62.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.01,-247.48,0.0,0.92,4.04
2019//01,300,400,135.0,77.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.01,-246.97,0.0,0.99,3.88
2019//01,400,500,124.0,88.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.0,-247.47,0.0,0.93,3.7
2019//01,500,600,113.0,98.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.0,-246.64,0.0,0.94,3.46
2019//01,600,700,102.0,107.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,-243.11,0.0,1.0,3.37
2019//01,700,800,88.0,117.0,16.834,548.911,5.78,6.72,0.78,11.13,4.99,-243.48,1.85,1.01,3.49
2019//01,800,900,82.0,127.0,192.017,1406.675,74.09,103.16,30.16,202.42,43.94,-2.55,416.54,1.08,4.31
2019//01,900,1000,74.0,139.0,384.965,1406.667,162.42,219.9,76.3,271.88,86.12,715.06,1724.04,1.32,5.38
2019//01,1000,1100,68.0,152.0,530.306,1406.66,255.35,351.43,137.72,358.93,117.63,1382.38,3436.99,1.52,6.27
2019//01,1100,1200,64.0,167.0,617.212,1406.651,291.97,386.68,138.09,309.96,153.88,1590.71,3911.55,1.75,7.24
2019//01,1200,1300,63.0,182.0,639.616,1406.643,306.17,407.69,147.13,321.31,159.04,1695.82,4102.35,1.68,8.15
2019//01,1300,1400,65.0,198.0,595.971,1406.635,314.39,436.96,179.7,417.69,134.69,1796.64,4303.71,1.75,8.9
2019//01,1400,1500,70.0,212.0,489.307,1406.626,247.93,348.4,135.73,380.17,112.2,1285.2,3038.46,1.63,9.36
