Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//09,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,245,05::21:01,18::29:39,11::55:51,8.974,17.593,1.0190000000000001,19.118000000000002,0.003,356.88100000000003,0.005,219.288,1.016,19.174,6.38,13.200000000000001,-6.3552,1.8928,0.09000000000000001,0.391,-
2,246,05::22:04,18::28:17,11::55:31,8.909,17.457,4.2170000000000005,5.305,2.027,3.119,3.331,2.952,2.191,9.306000000000001,0.08,11.89,-7.489000000000001,1.7561,0.13440000000000002,0.36210000000000003,-
3,247,05::23:34,18::26:00,11::55:12,8.843,17.441,4.934,4.551,2.565,3.011,4.889,2.855,2.369,8.649000000000001,-0.28,13.89,-6.839,2.0921000000000003,-0.0373,0.6241,-
4,248,05::24:43,18::24:25,11::54:52,8.777000000000001,17.424,5.817,4.157,4.371,2.821,7.25,2.797,1.446,13.831,2.73,18.41,-7.2552,0.8638,-0.17120000000000002,0.2861,-
5,249,05::25:37,18::22:52,11::54:32,8.71,17.301000000000002,3.556,6.151,1.436,3.499,2.138,3.245,2.12,9.622,4.5200000000000005,16.37,-7.1387,0.8288000000000001,-0.32170000000000004,0.375,-
6,250,05::26:24,18::20:39,11::54:11,8.643,17.292,4.647,4.656,1.349,3.442,3.229,2.98,3.298,6.735,1.84,19.51,-6.7822000000000005,1.3715000000000002,-0.45430000000000004,0.5685,-
7,251,05::27:50,18::19:09,11::53:51,8.576,17.269000000000002,6.371,3.778,5.884,2.765,10.422,2.744,0.487,41.042,0.96,24.16,-7.3737,1.3960000000000001,-0.4667,0.8648,-
8,252,05::29:11,18::17:22,11::53:30,8.508000000000001,17.135,5.258,4.171,2.903,2.891,5.2010000000000005,2.778,2.354,8.413,0.16,21.740000000000002,-8.6164,1.4468,-0.2748,0.6287,-
9,253,05::30:11,18::15:16,11::53:09,8.439,17.122,5.9510000000000005,3.867,4.609,2.7800000000000002,8.237,2.745,1.342,14.611,0.7000000000000001,19.14,-8.0387,1.6241,-0.6311,0.7743,-
10,254,05::31:02,18::13:52,11::52:48,8.371,17.112000000000002,4.9110000000000005,4.377,2.138,3.0180000000000002,4.329,2.834,2.773,7.297,1.57,23.56,-6.8966,1.3809,-0.3602,0.6707000000000001,-
11,255,05::32:04,18::11:45,11::52:27,8.302,16.976,6.017,3.801,5.522,2.7720000000000002,10.177,2.758,0.496,39.277,5.01,26.1,-7.4369000000000005,1.0831,-0.5991000000000001,0.667,-
12,256,05::33:34,18::09:53,11::52:06,8.232,16.961000000000002,5.93,3.845,5.356,2.766,9.933,2.742,0.5740000000000001,34.160000000000004,7.55,29.73,-8.0604,2.0089,-0.4273,0.7326,-
13,257,05::34:43,18::08:33,11::51:45,8.163,16.831,5.471,4.007,3.85,2.822,7.014,2.778,1.621,12.018,8.73,31.63,-8.053,1.4761,-0.3774,0.667,-
14,258,05::35:38,18::06:11,11::51:23,8.093,16.82,5.71,3.984,5.143,2.7960000000000003,8.979000000000001,2.761,0.5670000000000001,34.582,12.42,33.67,-9.526,1.7461,-0.46480000000000005,1.0243,-
15,259,05::36:24,18::04:31,11::51:02,8.023,16.812,5.711,3.97,4.944,2.7720000000000002,9.012,2.748,0.767,25.564,13.14,27.91,-10.3446,0.9917,-0.2645,0.4076,-
16,260,05::37:51,18::02:58,11::50:41,7.952,16.676000000000002,4.349,4.817,1.807,3.063,2.995,2.8810000000000002,2.543,7.8420000000000005,10.73,26.72,-9.5495,1.5614000000000001,-0.20770000000000002,0.6404000000000001,-
17,261,05::39:12,18::00:41,11::50:19,7.881,16.654,5.579,3.911,4.985,2.775,9.332,2.746,0.594,32.158,9.950000000000001,29.55,-9.6278,1.4585000000000001,-0.4572,0.8517,-
18,262,05::40:13,17::59:09,11::49:58,7.8100000000000005,16.641000000000002,5.275,4.032,3.967,2.793,7.352,2.762,1.308,14.507,7.07,29.29,-8.0585,1.3409,-0.35450000000000004,1.0195,-
19,263,05::41:03,17::57:19,11::49:37,7.739,16.518,5.464,3.9010000000000002,4.736,2.766,9.03,2.74,0.728,24.849,9.200000000000001,23.91,-8.9135,1.1476,-0.4657,0.5322,-
20,264,05::42:08,17::55:13,11::49:15,7.668,16.495,5.573,3.899,5.093,2.771,9.803,2.744,0.47900000000000004,39.614000000000004,2.7,24.85,-9.166400000000001,1.5459,-0.4575,0.805,-
21,265,05::43:39,17::53:48,11::48:54,7.596,16.478,4.793,4.446,3.535,2.845,6.686,2.7920000000000003,1.258,14.983,5.41,19.06,-9.1729,1.4052,-0.2434,0.34890000000000004,-
22,266,05::44:47,17::51:38,11::48:33,7.524,16.349,4.396,4.745,2.67,2.969,5.1080000000000005,2.853,1.727,10.503,-1.5,13.33,-9.1995,0.8034,-0.28140000000000004,0.36710000000000004,-
23,267,05::45:42,17::49:48,11::48:12,7.452,16.338,5.577,3.843,5.2860000000000005,2.762,10.486,2.74,0.292,61.518,-4.57,16.3,-7.3406,1.3699000000000001,-0.457,0.792,-
24,268,05::46:30,17::48:28,11::47:51,7.38,16.193,5.282,3.9490000000000003,4.474,2.786,8.789,2.745,0.809,22.839000000000002,-3.98,19.3,-6.4444,1.4139000000000002,-0.5958,0.8866,-
25,269,05::48:03,17::46:05,11::47:31,7.308,16.19,5.41,3.9170000000000003,5.091,2.7880000000000003,10.161,2.7600000000000002,0.32,55.345,-2.98,23.6,-7.314500000000001,1.3256000000000001,-0.5967,0.7219,-
26,270,05::49:21,17::44:26,11::47:10,7.236,16.17,5.328,3.876,4.97,2.7640000000000002,9.982000000000001,2.739,0.359,49.332,-0.1,26.18,-7.324000000000001,1.2704,-0.42700000000000005,0.6920000000000001,-
27,271,05::50:21,17::42:53,11::46:50,7.163,16.043,5.24,3.936,4.7780000000000005,2.7760000000000002,9.482,2.744,0.462,39.703,1.,27.35,-7.1267000000000005,1.6098000000000001,-0.4213,1.0054,-
28,272,05::51:11,17::40:37,11::46:30,7.091,16.033,4.3180000000000005,4.604,3.0060000000000002,2.8970000000000002,5.551,2.7960000000000003,1.312,13.981,3.71,25.11,-8.5653,1.9034,-0.39230000000000004,0.8215,-
29,273,05::52:25,17::39:07,11::46:10,7.019,16.013,4.2170000000000005,4.5,2.166,2.93,4.5,2.782,2.051,8.76,1.19,23.06,-7.704700000000001,1.2019,-0.37410000000000004,0.8527,-
30,274,05::53:56,17::37:18,11::45:50,6.947,15.876,4.349,4.428,2.993,2.849,5.75,2.766,1.356,13.247,3.08,24.42,-7.546,1.2292,-0.3111,0.5583,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.6666761536128,245.0034722222222,2000-09-01--00:05:00,128.33002000000002,2.0466,0,0.,-3.68,12,-0.58,72,-0.58,12,-3.68,72,13.200000000000001,11,-10.040000000000001,11,-0.49,11,-
2000.6666856405589,245.00694444444443,2000-09-01--00:10:00,128.28643000000002,3.6231600000000004,0,0.,-3.73,12,-0.35000000000000003,72,-0.35000000000000003,12,-3.73,72,12.94,11,-10.09,11,-0.26,11,-
2000.6666951275047,245.01041666666666,2000-09-01--00:15:00,128.21795,5.19707,0,0.,-3.49,12,-0.02,72,-0.02,12,-3.49,72,12.91,11,-9.85,11,0.07,11,-
2000.6667046144507,245.01388888888889,2000-09-01--00:20:00,128.12470000000002,6.767180000000001,0,0.,-2.48,12,-0.15,72,-0.15,12,-2.48,72,12.49,11,-8.84,11,-0.06,11,-
2000.6667141013966,245.0173611111111,2000-09-01--00:25:00,128.0068,8.33234,0,0.,-1.47,12,-0.37,72,-0.37,12,-1.47,72,12.16,11,-7.83,11,-0.28,11,-
2000.6667235883426,245.02083333333331,2000-09-01--00:30:00,127.86443000000001,9.89146,0,0.,-1.27,12,-0.29,72,-0.29,12,-1.27,72,12.06,11,-7.63,11,-0.2,11,-
2000.6667330752887,245.02430555555554,2000-09-01--00:35:00,127.69781,11.443460000000002,0,0.,-3.59,12,-1.1300000000000001,72,-1.1300000000000001,12,-3.59,72,11.97,11,-9.950000000000001,11,-1.04,11,-
2000.6667425622345,245.02777777777777,2000-09-01--00:40:00,127.50717000000002,12.98731,0,0.,-5.67,12,-0.55,72,-0.55,12,-5.67,72,11.83,11,-12.030000000000001,11,-0.46,11,-
2000.6667520491806,245.03125,2000-09-01--00:45:00,127.29279000000001,14.522020000000001,0,0.,-4.74,12,0.04,72,0.04,12,-4.74,72,11.56,11,-11.1,11,0.13,11,-
2000.6667615361264,245.0347222222222,2000-09-01--00:50:00,127.05496000000001,16.046670000000002,0,0.,-3.15,12,0.63,72,0.63,12,-3.15,72,11.49,11,-9.51,11,0.72,11,-
2000.6667710230724,245.03819444444443,2000-09-01--00:55:00,126.79402,17.56039,0,0.,-1.43,12,0.88,72,0.88,12,-1.43,72,11.4,11,-7.79,11,0.97,11,-
2000.6667805100185,245.04166666666666,2000-09-01--01:00:00,126.51031,19.062340000000003,0,0.,-0.71,12,0.88,72,0.88,12,-0.71,72,10.99,11,-7.07,11,0.97,11,-
2000.6667899969643,245.04513888888889,2000-09-01--01:05:00,126.20423000000001,20.55177,0,0.,0.41000000000000003,12,0.62,72,0.62,12,0.41000000000000003,72,10.77,11,-5.95,11,0.71,11,-
2000.6667994839104,245.0486111111111,2000-09-01--01:10:00,125.87616000000001,22.027980000000003,0,0.,1.18,12,0.5,72,0.5,12,1.18,72,10.790000000000001,11,-5.18,11,0.59,11,-
