"Station ID Number:","94169","-","-","-","-","Type of Measurement:","GHI","GHI_Flag","DrHI_Calc","DrHI_Calc_Flag","DNI","DNI_Flag","DHI_Calc","DHI_Calc_Flag","Temperature","Temperature_Flag","GHI_original","GHI_original_Flag","DNI_original","DNI_original_Flag","NOTES"
"Station Name:","HEO","-","-","-","-","Element:",1000,"-",2000,"-",2010,"-",3000,"-",9300,"-","1000_original","-","2010_original","-","Contact Info: http://solardat.uoregon.edu"
"Station Location:","Hermiston_Oregon_USA","-","-","-","-","Instrument Serial Number:","PSP(17854F3)","-","NIP(17668E6)","-","NIP(17668E6)","-","Computed from GHI and DNI","-","TEMP(HEO)","-","PSP(17854F3)","-","NIP(17668E6)","-","File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf"
"Latitude:",45.818441,"-","-","-","-","Instrument Shorthand Name:","PSP5","-","-","-","NIP4","-","-","-","TEMP(HEO)","-","PSP5","-","NIP4","-","Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html"
"Longitude (+ East):",-119.284721,"-","-","-","-","Responsivity:",7.444000000000001,"microV/(W/m^2)","-","-",8.72,"microV/(W/m^2)","-","-",40.34,"microV?/C",7.444000000000001,"microV/(W/m^2)",8.72,"microV/(W/m^2)","Data has been calibrated using the responsivity values listed "
"Altitude (m):",188.,"-","-","-","-","Estimated Uncertainty (U95%):",2.8000000000000003,"-",2.5300000000000002,"-",2.5300000000000002,"-",3.774,"-",2.2,"-",2.8000000000000003,"-",2.5300000000000002,"-","The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments)."
"Time Zone (+ East):",-8.,"-","-","-","-","Sample Method:","Avg","-","-","-","Avg","-","-","-","Avg","-","Avg","-","Avg","-","Data that has been (computed) was calculated from measured columns."
"Time Interval (Minutes):",5,"-","-","-","-","Units:","W/m^2","-","W/m^2","-","W/m^2","-","W/m^2","-","C","-","W/m^2","-","W/m^2","-","Date this file was created: 2019-9-11"
"Year//Month","1980//05","-","-","-","-","Column Notes:","AdjustedColumn","-","CalculatedColumn","-","AdjustedColumn","-","CalculatedColumn","-","MeasuredColumn","-","MeasuredColumn","-","MeasuredColumn","-","This file was created using code: AAA Check data (2019-09-10).nb"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SZA horizon boundaries (East/West): 88/89"
"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
1,122,"04::44:57","19::04:20","11::54:08",10.207,19.137,"-","-","-","-","-","-","-","-",4.8100000000000005,25.75,-0.1328,0.9574,0.4465,1.3128,"-"
2,123,"04::43:26","19::05:22","11::54:01",10.261000000000001,19.161,5.28,3.051,2.086,3.75,3.653,3.141,3.194,4.516,9.8,23.48,-0.39740000000000003,1.4199000000000002,-0.14650000000000002,0.8739,"-"
3,124,"04::41:28","19::06:45","11::53:55",10.314,19.172,7.55,2.8890000000000002,6.298,2.677,10.088000000000001,2.561,1.2510000000000001,6.4510000000000005,3.06,26.54,-1.097,2.2838000000000003,-0.3048,1.9504000000000001,"-"
4,125,"04::40:24","19::08:26","11::53:49",10.365,19.209,7.449,2.97,6.172,2.6630000000000003,9.82,2.553,1.2770000000000001,6.284,6.21,29.79,0.31770000000000004,2.7315,0.3236,2.5596,"-"
5,126,"04::39:08","19::09:24","11::53:44",10.416,19.339,5.264,3.106,2.74,2.911,4.275,2.6670000000000003,2.525,4.905,10.24,29.26,1.7737,3.2568,1.153,2.8047,"-"
6,127,"04::37:21","19::10:26","11::53:40",10.466000000000001,19.366,4.101,3.0420000000000003,0.517,10.194,1.258,5.2700000000000005,3.583,4.316,8.4,19.71,1.3719000000000001,1.5908,1.1917,1.7784,"-"
7,128,"04::35:57","19::11:48","11::53:36",10.515,19.391000000000002,7.422000000000001,2.884,5.843,2.72,8.939,2.596,1.579,5.502,5.95,23.830000000000002,0.6829000000000001,0.9846,0.8368,1.1332,"-"
8,129,"04::34:55","19::13:27","11::53:33",10.563,19.405,6.774,2.934,3.436,2.971,5.132,2.748,3.338,4.215,7.,21.990000000000002,1.0439,0.9479000000000001,0.391,0.9747,"-"
9,130,"04::33:35","19::14:24","11::53:30",10.611,19.537,6.202,2.9170000000000003,3.568,2.924,6.186,2.67,2.634,4.618,6.5600000000000005,19.71,1.2303,1.1054000000000002,1.0617,1.0945,"-"
10,131,"04::31:51","19::15:24","11::53:28",10.657,19.552,2.179,3.714,0.029,115.22200000000001,0.037,90.309,2.15,5.199,7.61,15.33,0.4602,0.7593000000000001,0.7398,0.7669,"-"
11,132,"04::30:45","19::16:42","11::53:26",10.702,19.582,7.855,2.888,6.415,2.66,9.997,2.557,1.439,5.742,3.7600000000000002,25.23,0.47340000000000004,1.7197,0.9022,1.748,"-"
12,133,"04::29:45","19::18:19","11::53:25",10.746,19.595,6.401,2.926,2.629,3.226,4.328,2.823,3.7720000000000002,4.176,11.21,23.39,0.4484,1.2634,0.9641000000000001,1.4003,"-"
13,134,"04::28:30","19::19:18","11::53:25",10.789,19.725,7.74,3.051,5.761,2.791,8.951,2.6510000000000002,1.979,5.157,9.02,25.05,0.34440000000000004,1.7191,1.1032,2.4616000000000002,"-"
14,135,"04::26:55","19::20:14","11::53:25",10.832,19.739,3.096,3.612,0.23,13.203,0.306,10.273,2.866,4.854,8.84,17.87,0.867,1.6721000000000001,1.5193,2.4496,"-"
15,136,"04::25:51","19::21:26","11::53:26",10.873000000000001,19.767,7.736,3.604,6.147,3.3970000000000002,9.236,3.133,1.589,6.603,7.17,21.43,0.4056,0.5983,0.642,0.37320000000000003,"newsitefile_(Element:9300._Instrument:TEMP(HEO)_Responsivity:36.1111)"
16,137,"04::24:59","19::22:59","11::53:27",10.913,19.777,8.095,2.887,6.847,2.637,10.746,2.549,1.248,6.684,7.53,25.44,0.13670000000000002,2.424,0.9244,2.2144,"-"
17,138,"04::23:57","19::24:05","11::53:29",10.952,19.903,7.739,2.89,"-","-","-","-","-","-",8.9,30.240000000000002,0.5893,2.6121000000000003,0.8130000000000001,2.3884000000000003,"-"
18,139,"04::22:35","19::24:56","11::53:31",10.99,19.925,5.556,3.0180000000000002,"-","-","-","-","-","-",6.65,30.93,0.7819,1.7405000000000002,0.8631000000000001,1.4607,"-"
19,140,"04::21:16","19::25:59","11::53:34",11.027000000000001,19.919,7.255,2.922,"-","-","-","-","-","-",8.700000000000001,29.36,0.4106,1.7391,0.5458000000000001,1.484,"-"
20,141,"04::20:35","19::27:22","11::53:38",11.063,19.953,7.66,2.896,"-","-","-","-","-","-",9.49,32.980000000000004,0.7078,1.7715,0.6767000000000001,1.6917,"-"
21,142,"04::19:48","19::28:44","11::53:42",11.097,19.963,7.49,2.974,"-","-","-","-","-","-",11.540000000000001,29.36,1.6666,1.6858000000000002,0.9334,1.8838000000000001,"-"
22,143,"04::18:54","19::29:29","11::53:46",11.131,20.086000000000002,6.767,2.984,"-","-","-","-","-","-",8.8,22.21,1.6276000000000002,2.0324,1.2702,1.7366000000000001,"-"
23,144,"04::17:46","19::30:21","11::53:51",11.164,20.103,7.5760000000000005,2.936,4.755,2.741,6.289,2.664,2.821,4.33,5.57,23.09,0.7842,0.7851,0.7502000000000001,0.6072000000000001,"-"
24,145,"04::16:38","19::31:25","11::53:57",11.196,20.102,4.014,3.23,0.537,8.295,0.609,7.53,3.478,4.537,9.98,20.75,1.3656000000000001,0.5915,0.8088000000000001,0.5607,"-"
