Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//09,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,245,05::19:27,18::33:57,11::56:56,8.732,17.66,5.383,2.907,3.217,2.997,5.274,2.714,2.165,4.868,10.96,30.44,1.2578,1.0601,2.5429,0.9587,-
2,246,05::20:30,18::31:48,11::56:36,8.663,17.533,5.861,2.901,4.586,2.95,7.314,2.723,1.276,6.036,12.82,25.25,1.468,1.0885,2.7575,0.647,-
3,247,05::21:22,18::29:52,11::56:17,8.594,17.523,6.291,2.866,5.468,2.721,9.819,2.568,0.823,8.935,6.55,28.58,0.1974,0.7988,2.0347,0.9402,-
4,248,05::22:58,18::28:27,11::55:57,8.524,17.384,6.209,2.861,5.457,2.731,9.835,2.562,0.751,9.651,5.47,34.65,0.782,0.5896,2.0708,0.5614,-
5,249,05::24:23,18::26:00,11::55:37,8.454,17.361,5.952,2.866,5.111,2.747,9.07,2.568,0.841,8.564,9.88,36.51,1.3418,1.0153,2.032,0.9101,-
6,250,05::25:27,18::24:19,11::55:17,8.383,17.347,5.099,2.899,3.581,3.159,5.701,2.772,1.519,5.022,14.87,38.07,2.0112,1.3309,2.4747,1.2917,-
7,251,05::26:19,18::22:31,11::54:56,8.312,17.224,5.487,2.875,4.264,2.949,7.529,2.68,1.223,6.066,14.09,32,0.928,0.9725,2.2647,0.5924,-
8,252,05::27:53,18::20:16,11::54:36,8.241,17.199,5.209,2.88,3.156,3.032,5.572,2.634,2.054,4.534,8.7,32,0.8856,0.9259,2.1632,0.992,-
9,253,05::29:20,18::18:47,11::54:15,8.169,17.175,5.316,2.904,3.84,3.014,6.47,2.731,1.476,5.249,10.86,33.67,1.3814,0.6728,2.165,0.6845,-
10,254,05::30:24,18::16:27,11::53:54,8.097,17.048,2.619,3.018,0.327,17.778,0.682,9.145,2.293,4.461,15.16,30.34,1.8189,0.8878,2.4522,0.5765,-
11,255,05::31:17,18::14:36,11::53:33,8.025,17.038,5.556,2.883,4.307,2.801,7.757,2.59,1.249,5.761,16.83,33.77,1.396,0.5987,2.4998,0.6341,-
12,256,05::32:48,18::12:58,11::53:12,7.952,16.901,2.959,3.025,0.286,16.686,0.488,10.194,2.673,4.379,16.24,26.91,1.3955,1.0235,2.4277,0.5071,-
13,257,05::34:17,18::10:34,11::52:50,7.879,16.877,2.87,3.121,0.5,9.94,1.349,4.931,2.37,4.788,11.15,23.98,1.9411,0.8153,2.5078,0.4408,-
14,258,05::35:22,18::09:00,11::52:29,7.806,16.862,5.032,2.907,3.453,3.029,6.179,2.71,1.578,5.073,12.23,29.07,1.183,0.8164,2.2213,0.6322,-
15,259,05::36:15,18::06:49,11::52:08,7.732,16.739,5.474,2.868,4.449,2.754,8.461,2.558,1.025,6.933,9.78,30.54,0.6121,1.0256,2.1305,0.8652,-
16,260,05::37:44,18::04:49,11::51:46,7.658,16.715,5.456,2.874,4.69,2.74,8.952,2.555,0.766,9.107,9.88,35.04,0.8593,0.5368,2.2688,0.5675,-
17,261,05::39:14,18::03:18,11::51:25,7.584,16.578,5.502,2.875,4.633,2.748,8.932,2.555,0.869,8.027,17.42,35.23,0.7682,1.1439,2.2895,1.0977,-
18,262,05::40:20,18::00:49,11::51:04,7.51,16.563,1.988,3.362,0.433,8.807,0.718,6.143,1.554,5.615,15.56,24.76,1.7131,0.7744,2.5364,0.5605,-
19,263,05::41:14,17::59:10,11::50:42,7.436,16.552,3.65,3.004,1.174,4.601,2.154,3.439,2.477,4.519,14.77,24.95,1.4557,0.6307,2.5144,0.6138,-
20,264,05::42:42,17::57:09,11::50:21,7.361,16.416,4.448,2.952,2.955,3.247,4.924,2.909,1.493,5.389,11.35,23,1.0909,0.9461,2.5068,0.7128,-
21,265,05::44:14,17::55:01,11::50:00,7.287,16.391,5.232,2.878,4.156,2.792,8.249,2.566,1.076,6.483,10.17,23.88,0.2962,0.6377,2.3771,0.7796,-
22,266,05::45:20,17::53:35,11::49:39,7.212,16.262,3.984,2.947,1.702,4.142,3.559,3.133,2.283,4.767,5.18,27.6,0.5374,1.0501,2.2343,0.8217,-
23,267,05::46:15,17::51:04,11::49:18,7.137,16.251,5.045,2.88,4.29,2.782,8.461,2.579,0.755,8.88,10.47,29.56,0.9093,1.1194,2.4068,0.8685,-
24,268,05::47:43,17::49:21,11::48:57,7.062,16.227,5.036,2.875,4.292,2.784,8.664,2.567,0.744,9.072,6.65,29.46,0.2787,1.0623,2.2351,1.0655,-
25,269,05::49:15,17::47:32,11::48:36,6.987,16.089,4.69,2.894,3.38,3.004,6.518,2.639,1.31,5.627,4.3,27.01,0.4198,0.9822,2.2783,0.9556,-
26,270,05::50:22,17::45:15,11::48:16,6.912,16.074,4.233,2.922,2.685,3.295,5.014,2.805,1.548,5.119,8.02,29.56,1.0155,0.9036,2.2015,0.8741,-
27,271,05::51:16,17::43:46,11::47:56,6.837,16.062,4.2,2.933,2.996,2.887,5.641,2.632,1.204,5.684,7.72,32,1.5356,0.9313,2.4932,0.9503,-
28,272,05::52:48,17::41:24,11::47:36,6.762,15.924,4.624,2.903,3.442,2.968,6.819,2.653,1.183,5.893,12.42,28.97,0.5813,0.673,2.2372,0.7986,-
