Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444000000000001,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,7.444000000000001,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188.,-,-,-,-,Estimated Uncertainty (U95%):,2.8000000000000003,-,2.5300000000000002,-,2.5300000000000002,-,3.774,-,2.8000000000000003,-,2.5300000000000002,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,60,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-26
Year//Month,1980//03,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1,61,06::37:37,17::42:22,12::09:20,5.851,15.066,2.573,2.8000000000000003,0.732,2.529,1.558,2.5300000000000002,1.857,3.774,-,-,-,-,-
2,62,06::35:32,17::43:40,12::09:08,5.932,15.107000000000001,3.059,2.8000000000000003,1.429,2.5300000000000002,2.899,2.5300000000000002,1.6300000000000001,3.773,-,-,-,-,-
3,63,06::33:18,17::44:57,12::08:55,6.013,15.15,2.273,2.8000000000000003,0.294,2.527,0.516,2.5300000000000002,1.979,3.775,-,-,-,-,-
4,64,06::30:43,17::46:16,12::08:42,6.097,15.202,3.879,2.8000000000000003,2.326,2.5300000000000002,5.055,2.5300000000000002,1.553,3.774,-,-,-,-,-
5,65,06::28:08,17::47:34,12::08:28,6.174,15.254,1.199,2.8000000000000003,0.,100,0.,100,1.199,3.774,-,-,-,-,-
6,66,06::26:39,17::48:53,12::08:14,6.248,15.280000000000001,2.3970000000000002,2.8000000000000003,0.852,2.531,1.82,2.5300000000000002,1.545,3.774,-,-,-,-,-
7,67,06::25:07,17::50:12,12::08:00,6.322,15.307,3.732,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
8,68,06::23:32,17::51:31,12::07:45,6.397,15.335,3.74,2.8000000000000003,2.6430000000000002,2.5300000000000002,5.0760000000000005,2.5300000000000002,1.097,3.774,-,-,-,-,-
9,69,06::21:54,17::52:51,12::07:30,6.471,15.364,2.728,2.8000000000000003,0.638,2.5300000000000002,1.62,2.5300000000000002,2.09,3.774,-,-,-,-,-
10,70,06::20:14,17::54:10,12::07:14,6.546,15.394,3.678,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
11,71,06::18:31,17::55:30,12::06:58,6.622,15.425,3.009,2.8000000000000003,0.763,2.5300000000000002,1.7830000000000001,2.5300000000000002,2.246,3.774,-,-,-,-,-
12,72,06::16:47,17::56:50,12::06:42,6.697,15.457,1.924,2.8000000000000003,0.139,2.5220000000000002,0.234,2.5300000000000002,1.7850000000000001,3.775,-,-,-,-,-
13,73,06::15:01,17::58:10,12::06:26,6.772,15.488,2.479,2.8000000000000003,0.419,2.5300000000000002,0.764,2.5300000000000002,2.06,3.774,-,-,-,-,-
14,74,06::13:13,17::59:30,12::06:09,6.848,15.521,4.553,2.8000000000000003,2.406,2.5300000000000002,4.4750000000000005,2.5300000000000002,2.1470000000000002,3.773,-,-,-,-,-
15,75,06::11:25,18::00:50,12::05:52,6.924,15.554,4.699,2.8000000000000003,3.0660000000000003,2.5300000000000002,6.033,2.5300000000000002,1.633,3.775,-,-,-,-,-
16,76,06::09:35,18::02:10,12::05:35,6.9990000000000006,15.587,4.382,2.8000000000000003,3.36,2.5300000000000002,6.424,2.5300000000000002,1.022,3.773,-,-,-,-,-
17,77,06::07:44,18::03:30,12::05:18,7.075,15.620000000000001,1.364,2.8000000000000003,0.001,3.213,0.002,2.5300000000000002,1.363,3.773,-,-,-,-,-
18,78,06::05:53,18::04:50,12::05:01,7.151,15.654,4.888,2.8000000000000003,3.531,2.5300000000000002,6.392,2.5300000000000002,1.357,3.775,-,-,-,-,-
19,79,06::04:01,18::06:10,12::04:43,7.227,15.687000000000001,4.534,2.8000000000000003,2.85,2.5300000000000002,5.307,2.5300000000000002,1.684,3.773,-,-,-,-,-
20,80,06::02:08,18::07:30,12::04:25,7.303,15.721,1.495,2.8000000000000003,0.02,2.544,0.053,2.5300000000000002,1.475,3.774,-,-,-,-,-
