Station_ID_Number:,94040,Type of Measurement:,GHI Minimums,GHI Maximums,GHI Mean,GHI Median,GHI_Tilt Minimums,GHI_Tilt Maximums,GHI_Tilt Mean,GHI_Tilt Median,DrHI_Calc Minimums,DrHI_Calc Maximums,DrHI_Calc Mean,DrHI_Calc Median,DNI Minimums,DNI Maximums,DNI Mean,DNI Median,DHI Minimums,DHI Maximums,DHI Mean,DHI Median,PV_Power Minimums,PV_Power Maximums,PV_Power Mean,PV_Power Median,PV_Power.1 Minimums,PV_Power.1 Maximums,PV_Power.1 Mean,PV_Power.1 Median,Wind_Speed Minimums,Wind_Speed Maximums,Wind_Speed Mean,Wind_Speed Median,TEMPERATURE Minimums,TEMPERATURE Maximums,TEMPERATURE Mean,TEMPERATURE Median,Temperature Minimums,Temperature Maximums,Temperature Mean,Temperature Median
Station_Name:,ASO,Element:,1000,1000,1000,1000,1160,1160,1160,1160,2000,2000,2000,2000,2010,2010,2010,2010,3000,3000,3000,3000,5161,5161,5161,5161,5162,5162,5162,5162,9210,9210,9210,9210,9300,9300,9300,9300,9300,9300,9300,9300
Station_Location:,Ashland_Oregon_USA,Instrument Serial Number:,RSP(PY35563_GHI),RSP(PY35563_GHI),RSP(PY35563_GHI),RSP(PY35563_GHI),LICOR(PY22981),LICOR(PY22981),LICOR(PY22981),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),RSP(PY35563_DHI),RSP(PY35563_DHI),RSP(PY35563_DHI),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),WindSpeed(ASO),WindSpeed(ASO),WindSpeed(ASO),WindSpeed(ASO),TEMP,TEMP,TEMP,TEMP,Temperature(ASO),Temperature(ASO),Temperature(ASO),Temperature(ASO)
Latitude_(+North):,42.19441,Instrument Shorthand Name:,RSP,RSP,RSP,RSP,GHI_TILT,GHI_TILT,GHI_TILT,GHI_TILT,-,-,-,-,RSP,RSP,RSP,RSP,RSP,RSP,RSP,RSP,PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),WS(ASO),WS(ASO),WS(ASO),WS(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO)
Longitude_(+East):,-122.698158,Responsivity:,9.8322,9.8322,9.8322,9.8322,9.58084,9.58084,9.58084,9.58084,-,-,-,-,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,160.,160.,160.,160.,2.7777800000000004,2.7777800000000004,2.7777800000000004,2.7777800000000004,1308.9005200000001,1308.9005200000001,1308.9005200000001,1308.9005200000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001
Altitude_(m):,594.,Estimated Uncertainty (U95%):,3.125,3.125,3.125,3.125,3.177,3.177,3.177,3.177,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,1.999,1.999,1.999,1.999,2.191,2.191,2.191,2.191,4.383,4.383,4.383,4.383,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,1,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C
Years:,2001-2020,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/DD,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
